> Mon Dec 14 13:41:06 2020 | Epoch [0000/0100] | duration: 686.7s | loss: 0.3333 | loss_d: 0.1714 | loss_r: 0.1618 | best: 0.3333 |
> Mon Dec 14 13:52:28 2020 | Epoch [0001/0100] | duration: 681.1s | loss: 0.1537 | loss_d: 0.0554 | loss_r: 0.0983 | best: 0.1537 |
> Mon Dec 14 14:03:53 2020 | Epoch [0002/0100] | duration: 683.0s | loss: 0.1153 | loss_d: 0.0316 | loss_r: 0.0837 | best: 0.1153 |
> Mon Dec 14 14:15:19 2020 | Epoch [0003/0100] | duration: 684.7s | loss: 0.0986 | loss_d: 0.0234 | loss_r: 0.0753 | best: 0.0986 |
> Mon Dec 14 14:26:47 2020 | Epoch [0004/0100] | duration: 686.2s | loss: 0.0882 | loss_d: 0.0191 | loss_r: 0.0691 | best: 0.0882 |
> Mon Dec 14 14:38:15 2020 | Epoch [0005/0100] | duration: 685.9s | loss: 0.0807 | loss_d: 0.0164 | loss_r: 0.0643 | best: 0.0807 |
> Mon Dec 14 14:49:43 2020 | Epoch [0006/0100] | duration: 685.6s | loss: 0.0750 | loss_d: 0.0145 | loss_r: 0.0604 | best: 0.0750 |
> Mon Dec 14 15:01:11 2020 | Epoch [0007/0100] | duration: 685.9s | loss: 0.0706 | loss_d: 0.0130 | loss_r: 0.0575 | best: 0.0706 |
> Mon Dec 14 15:12:38 2020 | Epoch [0008/0100] | duration: 685.9s | loss: 0.0670 | loss_d: 0.0120 | loss_r: 0.0550 | best: 0.0670 |
> Mon Dec 14 15:24:06 2020 | Epoch [0009/0100] | duration: 685.9s | loss: 0.0640 | loss_d: 0.0111 | loss_r: 0.0529 | best: 0.0640 |
> Mon Dec 14 15:35:34 2020 | Epoch [0010/0100] | duration: 685.9s | loss: 0.0615 | loss_d: 0.0105 | loss_r: 0.0510 | best: 0.0615 |
> Mon Dec 14 15:47:02 2020 | Epoch [0011/0100] | duration: 686.3s | loss: 0.0593 | loss_d: 0.0099 | loss_r: 0.0494 | best: 0.0593 |
> Mon Dec 14 15:58:30 2020 | Epoch [0012/0100] | duration: 686.1s | loss: 0.0572 | loss_d: 0.0093 | loss_r: 0.0479 | best: 0.0572 |
