> Mon Dec 14 00:31:11 2020 | Epoch [0037/0100] | duration: 681.8s | loss: 0.0352 | loss_d: 0.0075 | loss_r: 0.0277 | best: 0.0352 |
> Mon Dec 14 00:42:36 2020 | Epoch [0038/0100] | duration: 682.2s | loss: 0.0349 | loss_d: 0.0074 | loss_r: 0.0275 | best: 0.0349 |
> Mon Dec 14 00:54:00 2020 | Epoch [0039/0100] | duration: 682.0s | loss: 0.0346 | loss_d: 0.0073 | loss_r: 0.0273 | best: 0.0346 |
> Mon Dec 14 01:05:24 2020 | Epoch [0040/0100] | duration: 682.1s | loss: 0.0342 | loss_d: 0.0071 | loss_r: 0.0271 | best: 0.0342 |
> Mon Dec 14 01:16:48 2020 | Epoch [0041/0100] | duration: 682.2s | loss: 0.0340 | loss_d: 0.0070 | loss_r: 0.0269 | best: 0.0340 |
> Mon Dec 14 01:28:12 2020 | Epoch [0042/0100] | duration: 682.3s | loss: 0.0338 | loss_d: 0.0070 | loss_r: 0.0268 | best: 0.0338 |
> Mon Dec 14 01:39:37 2020 | Epoch [0043/0100] | duration: 682.3s | loss: 0.0335 | loss_d: 0.0069 | loss_r: 0.0266 | best: 0.0335 |
> Mon Dec 14 01:51:01 2020 | Epoch [0044/0100] | duration: 682.3s | loss: 0.0332 | loss_d: 0.0068 | loss_r: 0.0264 | best: 0.0332 |
> Mon Dec 14 02:02:26 2020 | Epoch [0045/0100] | duration: 682.4s | loss: 0.0331 | loss_d: 0.0068 | loss_r: 0.0263 | best: 0.0331 |
> Mon Dec 14 02:13:51 2020 | Epoch [0046/0100] | duration: 682.6s | loss: 0.0328 | loss_d: 0.0067 | loss_r: 0.0261 | best: 0.0328 |
> Mon Dec 14 02:25:15 2020 | Epoch [0047/0100] | duration: 682.5s | loss: 0.0326 | loss_d: 0.0066 | loss_r: 0.0260 | best: 0.0326 |
> Mon Dec 14 02:36:40 2020 | Epoch [0048/0100] | duration: 682.7s | loss: 0.0324 | loss_d: 0.0066 | loss_r: 0.0258 | best: 0.0324 |
> Mon Dec 14 02:48:05 2020 | Epoch [0049/0100] | duration: 682.6s | loss: 0.0321 | loss_d: 0.0065 | loss_r: 0.0255 | best: 0.0321 |
> Mon Dec 14 02:59:30 2020 | Epoch [0050/0100] | duration: 682.6s | loss: 0.0317 | loss_d: 0.0065 | loss_r: 0.0253 | best: 0.0317 |
> Mon Dec 14 03:10:54 2020 | Epoch [0051/0100] | duration: 682.6s | loss: 0.0316 | loss_d: 0.0065 | loss_r: 0.0251 | best: 0.0316 |
> Mon Dec 14 03:22:19 2020 | Epoch [0052/0100] | duration: 682.6s | loss: 0.0312 | loss_d: 0.0064 | loss_r: 0.0248 | best: 0.0312 |
> Mon Dec 14 03:33:44 2020 | Epoch [0053/0100] | duration: 682.8s | loss: 0.0311 | loss_d: 0.0064 | loss_r: 0.0247 | best: 0.0311 |
> Mon Dec 14 03:45:09 2020 | Epoch [0054/0100] | duration: 682.6s | loss: 0.0309 | loss_d: 0.0063 | loss_r: 0.0246 | best: 0.0309 |
> Mon Dec 14 03:56:34 2020 | Epoch [0055/0100] | duration: 682.7s | loss: 0.0307 | loss_d: 0.0062 | loss_r: 0.0244 | best: 0.0307 |
> Mon Dec 14 04:07:59 2020 | Epoch [0056/0100] | duration: 682.8s | loss: 0.0305 | loss_d: 0.0062 | loss_r: 0.0243 | best: 0.0305 |
> Mon Dec 14 04:19:24 2020 | Epoch [0057/0100] | duration: 683.1s | loss: 0.0304 | loss_d: 0.0062 | loss_r: 0.0242 | best: 0.0304 |
> Mon Dec 14 04:30:49 2020 | Epoch [0058/0100] | duration: 682.9s | loss: 0.0302 | loss_d: 0.0062 | loss_r: 0.0240 | best: 0.0302 |
> Mon Dec 14 04:42:14 2020 | Epoch [0059/0100] | duration: 682.9s | loss: 0.0301 | loss_d: 0.0061 | loss_r: 0.0240 | best: 0.0301 |
> Mon Dec 14 04:53:39 2020 | Epoch [0060/0100] | duration: 682.8s | loss: 0.0299 | loss_d: 0.0060 | loss_r: 0.0239 | best: 0.0299 |
> Mon Dec 14 05:05:05 2020 | Epoch [0061/0100] | duration: 683.0s | loss: 0.0299 | loss_d: 0.0060 | loss_r: 0.0239 | best: 0.0299 |
> Mon Dec 14 05:16:30 2020 | Epoch [0062/0100] | duration: 682.9s | loss: 0.0298 | loss_d: 0.0060 | loss_r: 0.0238 | best: 0.0298 |
> Mon Dec 14 05:27:55 2020 | Epoch [0063/0100] | duration: 682.9s | loss: 0.0296 | loss_d: 0.0059 | loss_r: 0.0237 | best: 0.0296 |
> Mon Dec 14 05:39:20 2020 | Epoch [0064/0100] | duration: 683.0s | loss: 0.0294 | loss_d: 0.0058 | loss_r: 0.0236 | best: 0.0294 |
> Mon Dec 14 05:50:45 2020 | Epoch [0065/0100] | duration: 683.0s | loss: 0.0295 | loss_d: 0.0059 | loss_r: 0.0235 | best: 0.0294 |
> Mon Dec 14 06:02:08 2020 | Epoch [0066/0100] | duration: 681.9s | loss: 0.0293 | loss_d: 0.0058 | loss_r: 0.0235 | best: 0.0293 |
> Mon Dec 14 06:13:33 2020 | Epoch [0067/0100] | duration: 680.8s | loss: 0.0291 | loss_d: 0.0057 | loss_r: 0.0234 | best: 0.0291 |
> Mon Dec 14 06:24:58 2020 | Epoch [0068/0100] | duration: 683.3s | loss: 0.0291 | loss_d: 0.0058 | loss_r: 0.0233 | best: 0.0291 |
> Mon Dec 14 06:36:22 2020 | Epoch [0069/0100] | duration: 682.2s | loss: 0.0289 | loss_d: 0.0056 | loss_r: 0.0233 | best: 0.0289 |
> Mon Dec 14 06:47:47 2020 | Epoch [0070/0100] | duration: 682.5s | loss: 0.0289 | loss_d: 0.0057 | loss_r: 0.0232 | best: 0.0289 |
> Mon Dec 14 06:59:09 2020 | Epoch [0071/0100] | duration: 682.4s | loss: 0.0288 | loss_d: 0.0056 | loss_r: 0.0232 | best: 0.0288 |
> Mon Dec 14 07:10:35 2020 | Epoch [0072/0100] | duration: 682.5s | loss: 0.0287 | loss_d: 0.0056 | loss_r: 0.0231 | best: 0.0287 |
> Mon Dec 14 07:22:00 2020 | Epoch [0073/0100] | duration: 682.8s | loss: 0.0286 | loss_d: 0.0056 | loss_r: 0.0230 | best: 0.0286 |
> Mon Dec 14 07:33:25 2020 | Epoch [0074/0100] | duration: 682.7s | loss: 0.0285 | loss_d: 0.0056 | loss_r: 0.0229 | best: 0.0285 |
> Mon Dec 14 07:44:49 2020 | Epoch [0075/0100] | duration: 682.6s | loss: 0.0285 | loss_d: 0.0056 | loss_r: 0.0229 | best: 0.0285 |
> Mon Dec 14 07:56:13 2020 | Epoch [0076/0100] | duration: 682.6s | loss: 0.0284 | loss_d: 0.0055 | loss_r: 0.0229 | best: 0.0284 |
